H,S,V,Label
42.232,48.4204,255.0,Yellow
33.492,59.8452,255.0,Yellow
33.48,59.9396,255.0,Yellow
33.5048,70.5132,255.0,Yellow
33.1164,66.948,254.9932,Yellow
34.3352,75.0404,254.9864,Yellow
34.4316,101.4864,252.704,Yellow
37.4688,65.4588,255.0,Yellow
37.9484,62.052,254.8408,Yellow
35.3936,57.5488,254.914,Yellow
74.7892,34.9416,254.6724,Yellow
39.572,55.9764,254.7812,Yellow
43.3112,53.816,254.4128,Yellow
50.6916,49.9016,254.3884,Yellow
33.772,67.3388,255.0,Yellow
33.582,67.8032,255.0,Yellow
37.0852,46.6712,254.6808,Yellow
37.4404,46.4144,254.6948,Yellow
33.4804,49.328,254.7416,Yellow
35.0336,103.2524,254.9692,Yellow
35.8332,63.5656,254.92,Yellow
30.5096,96.0108,224.9716,Yellow
34.7776,99.6844,219.2492,Yellow
132.7164,34.0688,254.9632,Yellow
30.466,138.4984,234.2436,Yellow
35.0428,93.4024,228.6576,Yellow
33.0052,94.106,254.9796,Yellow
35.862,89.2216,254.9856,Yellow
33.0236,103.656,254.1216,Yellow
32.9328,126.7748,252.2528,Yellow
53.9696,124.6136,239.8848,Yellow
52.7564,64.304,254.9676,Yellow
33.0712,132.1164,248.3988,Yellow
33.0256,125.1724,252.4244,Yellow
37.338,137.1312,244.2224,Yellow
32.1652,131.7948,230.2688,Yellow
35.1856,105.5076,250.854,Yellow
33.362,104.264,248.8888,Yellow
33.3416,97.5284,251.1712,Yellow
33.7756,75.5288,254.9716,Yellow
23.3004,141.864,255.0,Orange
21.8032,154.6504,255.0,Orange
19.5784,158.3404,255.0,Orange
20.7832,130.206,255.0,Orange
19.84,146.2792,255.0,Orange
16.3388,168.5212,254.9212,Orange
22.9892,144.0288,255.0,Orange
22.6964,145.3868,255.0,Orange
23.4256,144.636,255.0,Orange
22.4572,151.2968,255.0,Orange
24.1804,134.6264,255.0,Orange
22.1672,154.2632,255.0,Orange
20.0028,161.9892,255.0,Orange
23.2764,144.5908,255.0,Orange
23.0408,96.2664,255.0,Orange
22.998,123.664,255.0,Orange
22.044,149.802,255.0,Orange
19.8324,166.368,255.0,Orange
22.602,144.466,255.0,Orange
19.7032,161.8024,255.0,Orange
18.1052,166.1892,255.0,Orange
15.3132,173.9244,247.6128,Orange
16.5012,160.2884,252.2604,Orange
17.5356,169.0136,255.0,Orange
16.5284,178.166,254.6264,Orange
17.532,169.3444,255.0,Orange
18.1148,166.0408,255.0,Orange
18.7012,162.4088,255.0,Orange
19.994,160.9844,255.0,Orange
22.0316,141.3764,255.0,Orange
22.322,120.4044,255.0,Orange
19.5756,155.0364,255.0,Orange
24.2148,125.0172,255.0,Orange
19.2344,138.316,255.0,Orange
20.9928,140.4692,255.0,Orange
24.8236,129.3352,255.0,Orange
21.2484,140.2456,255.0,Orange
28.9576,86.7756,254.9956,Orange
17.134,141.04,255.0,Orange
20.4744,133.6664,255.0,Orange
20.1792,135.4196,255.0,Orange
19.498,134.7692,255.0,Orange
18.9416,142.8792,255.0,Orange
19.6112,148.2828,255.0,Orange
18.89,153.4672,255.0,Orange
21.4872,152.7224,255.0,Orange
17.614,171.1788,255.0,Orange
18.8892,165.51,255.0,Orange
20.5932,157.1896,255.0,Orange
18.3784,173.5372,255.0,Orange
17.8188,164.5296,255.0,Orange
19.6124,116.174,255.0,Orange
20.6764,147.8876,255.0,Orange
18.8308,131.6104,255.0,Orange
17.3772,133.8652,255.0,Orange
19.1652,129.0656,255.0,Orange
18.4516,137.2392,255.0,Orange
19.2104,133.2348,255.0,Orange
34.3776,74.3196,254.9364,Orange
18.8808,159.618,255.0,Orange
18.1736,156.1852,254.9972,Orange
15.1032,153.5508,247.4564,Orange
18.2468,130.1252,255.0,Orange
19.5828,156.5552,255.0,Orange
20.8092,145.4724,255.0,Orange
19.228,161.0136,255.0,Orange
17.3184,151.9552,254.9976,Orange
19.1848,163.4952,255.0,Orange
20.1096,159.6408,255.0,Orange
18.864,165.4436,255.0,Orange
19.46,157.8516,255.0,Orange
18.7204,121.1212,255.0,Orange
16.862,155.908,254.7872,Orange
16.7236,166.54,255.0,Orange
18.4956,165.2896,255.0,Orange
21.09,154.4676,255.0,Orange
20.1288,159.616,255.0,Orange
18.76,135.8412,255.0,Orange
20.1656,160.6656,255.0,Orange
19.836,139.3456,255.0,Orange
19.982,125.088,255.0,Orange
18.0204,155.9548,255.0,Orange
18.1556,167.5996,255.0,Orange
21.5056,155.1308,255.0,Orange
18.6452,162.568,255.0,Orange
20.3772,141.198,255.0,Orange
61.2436,109.4932,255.0,Green
63.1292,96.9092,254.9988,Green
66.9168,88.3392,254.5596,Green
61.2544,100.1812,255.0,Green
60.5936,115.2668,254.9992,Green
60.542,123.1004,254.7552,Green
60.2848,100.2508,255.0,Green
61.2176,104.928,255.0,Green
61.7808,111.7264,255.0,Green
61.8608,113.2972,254.6144,Green
61.0784,131.6584,247.0196,Green
64.0504,102.4072,252.056,Green
61.7044,97.7124,255.0,Green
61.2072,97.9724,255.0,Green
61.458,114.41,254.9924,Green
61.2976,107.896,255.0,Green
60.2332,134.3248,252.8952,Green
66.18,97.6284,252.5468,Green
62.3176,108.4992,254.9884,Green
60.18,99.1252,255.0,Green
60.8844,112.2104,255.0,Green
59.972,101.3244,255.0,Green
60.1824,113.7096,255.0,Green
60.6836,103.1164,255.0,Green
61.8664,106.6104,253.5536,Green
68.232,77.3824,255.0,Green
61.478,102.2128,255.0,Green
61.8172,107.6996,255.0,Green
62.076,117.3376,254.22,Green
61.2568,145.8548,230.4888,Green
64.3696,108.6936,246.5568,Green
60.4748,138.52,232.12,Green
60.1652,132.9428,244.93,Green
60.5656,115.6072,255.0,Green
58.0944,91.4436,255.0,Green
58.4724,91.4492,255.0,Green
59.294,116.3532,255.0,Green
58.4628,127.7524,254.8884,Green
58.0496,93.4224,255.0,Green
58.6772,97.7232,255.0,Green
58.7288,101.8888,255.0,Green
58.6824,105.5248,255.0,Green
57.854,98.3768,255.0,Green
58.3024,105.746,255.0,Green
58.3408,104.1024,255.0,Green
61.3192,87.282,255.0,Green
58.5624,102.9544,255.0,Green
58.7592,116.9468,254.9968,Green
57.2664,107.4572,255.0,Green
57.9248,126.376,254.5976,Green
58.652,119.046,254.9944,Green
58.4332,121.468,253.6976,Green
62.6052,83.6504,255.0,Green
61.2968,97.4064,254.2792,Green
59.0792,102.1452,255.0,Green
59.0724,115.4964,254.9956,Green
65.7308,105.2724,255.0,Green
69.3868,178.5936,253.0464,Green
69.6864,145.9804,255.0,Green
68.846,155.7532,254.9032,Green
65.582,95.5204,255.0,Green
68.0908,193.2176,255.0,Green
69.474,183.158,255.0,Green
69.9884,176.0948,255.0,Green
67.8812,164.0392,255.0,Green
69.6024,159.9056,255.0,Green
71.3704,146.71,255.0,Green
70.6708,152.1252,254.9804,Green
71.4228,153.0748,255.0,Green
69.8256,154.5624,254.9008,Green
68.8412,144.648,254.9552,Green
67.9376,147.19,254.416,Green
67.8604,135.168,254.9984,Green
70.0312,187.8488,253.2488,Green
70.8028,184.278,254.266,Green
84.0124,35.7088,255.0,Green
70.28,166.3496,254.9116,Green
70.4,167.6144,254.8864,Green
69.3488,170.32,253.8268,Green
84.1708,53.0168,255.0,Green
89.8956,47.0456,254.9932,Green
83.7556,80.3016,255.0,Green
74.548,152.94,254.9976,Green
73.276,208.1616,254.9892,Green
73.7864,200.28,254.9992,Green
73.7672,200.5124,254.9996,Green
73.7772,205.5268,254.996,Green
75.0328,210.9416,255.0,Green
74.8208,190.6208,255.0,Green
70.2492,179.0296,255.0,Green
61.728,165.9852,227.7052,Green
61.1384,158.6736,223.8436,Green
63.0228,126.2568,254.9992,Green
62.9752,114.3432,255.0,Green
63.7472,122.462,255.0,Green
71.4108,212.7016,254.6104,Green
91.28,88.1312,255.0,Green
60.8024,95.912,255.0,Green
60.828,103.8708,255.0,Green
63.4732,84.602,255.0,Green
57.372,113.9796,255.0,Green
56.8308,113.002,255.0,Green
56.9316,106.2748,255.0,Green
58.4992,127.3224,254.1556,Green
58.5456,100.7236,254.9808,Green
62.7416,84.4032,254.958,Green
57.426,100.0964,255.0,Green
140.6532,125.842,255.0,Pink
140.26,122.0904,255.0,Pink
147.2528,152.8116,254.986,Pink
142.1852,129.3268,255.0,Pink
140.476,100.3296,255.0,Pink
145.686,149.7604,252.894,Pink
140.4712,123.9488,255.0,Pink
145.5848,150.6356,254.9992,Pink
144.0332,145.0892,254.9992,Pink
141.4988,104.3796,255.0,Pink
145.678,146.3144,255.0,Pink
144.9368,143.12,255.0,Pink
142.3812,132.612,255.0,Pink
142.8,137.9716,255.0,Pink
142.5536,137.9808,255.0,Pink
141.656,129.088,255.0,Pink
140.6788,97.422,255.0,Pink
145.662,146.0996,255.0,Pink
144.1396,132.5864,254.7496,Pink
147.5336,155.284,246.5664,Pink
144.0056,121.8308,254.1548,Pink
144.6768,133.2604,254.0052,Pink
142.2384,133.036,255.0,Pink
141.894,137.114,255.0,Pink
143.2232,145.8636,255.0,Pink
144.0176,147.6692,255.0,Pink
142.694,134.5268,255.0,Pink
145.7464,148.246,254.988,Pink
145.0536,145.3784,255.0,Pink
143.3692,141.1572,255.0,Pink
141.008,114.7948,255.0,Pink
140.5632,116.606,255.0,Pink
140.7528,125.6412,255.0,Pink
140.6812,128.8628,255.0,Pink
142.6944,140.2796,255.0,Pink
142.312,68.416,255.0,Pink
142.292,102.3108,255.0,Pink
139.6344,76.7236,255.0,Pink
143.154,149.6308,252.404,Pink
139.8448,129.9148,254.6892,Pink
139.5372,75.1328,255.0,Pink
138.834,60.2324,255.0,Pink
126.686,41.4576,254.9952,Pink
127.3,43.4268,254.9716,Pink
137.04,55.566,254.9968,Pink
137.8616,84.5084,254.9988,Pink
138.7876,158.6036,254.6164,Pink
137.818,174.0,255.0,Pink
138.2312,164.0888,254.966,Pink
140.1644,151.182,249.7392,Pink
139.3008,148.5292,252.9344,Pink
139.062,146.944,253.8784,Pink
140.5572,147.3524,254.4044,Pink
139.5852,135.2872,254.9988,Pink
139.612,129.9556,255.0,Pink
139.6416,129.9528,255.0,Pink
143.198,156.0676,251.5044,Pink
142.1524,156.8952,248.1468,Pink
143.3728,155.6848,252.5564,Pink
140.4816,91.4324,255.0,Pink
142.3944,155.4416,250.3468,Pink
143.55,162.9152,236.598,Pink
142.3064,153.102,235.5172,Pink
144.0912,139.6776,242.742,Pink
147.1948,168.6832,244.1136,Pink
146.4928,172.0764,240.1804,Pink
146.5908,173.4976,234.9212,Pink
143.8532,163.5676,244.6988,Pink
142.294,159.2348,237.5524,Pink
142.9444,163.0872,231.7916,Pink
142.026,156.0416,236.8628,Pink
140.2464,127.5628,245.1044,Pink
146.442,151.9392,245.792,Pink
145.9472,166.2244,248.212,Pink
146.2956,170.5276,242.39,Pink
146.7176,173.0064,234.29,Pink
144.8852,166.8376,242.7312,Pink
142.6972,159.0624,244.904,Pink
141.692,158.0376,239.5896,Pink
139.5252,71.132,255.0,Pink
140.0628,105.1128,255.0,Pink
139.5436,87.4192,255.0,Pink
141.892,131.7036,254.9656,Pink
138.6112,88.0764,255.0,Pink
139.524,80.4684,255.0,Pink
139.5276,106.1596,255.0,Pink
139.9736,113.126,255.0,Pink
139.7088,106.7652,255.0,Pink
139.5644,89.254,255.0,Pink
138.318,56.1624,255.0,Pink
139.5608,75.6908,255.0,Pink
140.5848,119.6052,255.0,Pink
140.7872,124.8348,255.0,Pink
142.5672,137.1648,255.0,Pink
140.0168,122.664,255.0,Pink
140.3916,122.4572,255.0,Pink
